iter	Passed	Remaining
699	4516	21291
700	4524	21290
701	4528	21275
702	4536	21273
703	4540	21259
704	4548	21259
705	4555	21256
706	4560	21240
707	4567	21237
708	4575	21236
709	4582	21234
710	4587	21221
711	4595	21220
712	4599	21204
713	4606	21200
714	4614	21201
715	4618	21185
716	4625	21179
717	4633	21179
718	4637	21164
719	4645	21164
720	4650	21148
721	4657	21144
722	4665	21146
723	4672	21143
724	4680	21140
725	4684	21124
726	4692	21124
727	4696	21109
728	4703	21105
729	4710	21101
730	4715	21085
731	4723	21086
732	4727	21070
733	4734	21068
734	4744	21077
735	4752	21075
736	4756	21060
737	4763	21054
738	4771	21057
739	4776	21042
740	4783	21038
741	4790	21035
742	4799	21037
743	4803	21023
744	4810	21019
745	4817	21015
746	4822	21000
747	4830	20999
748	4834	20984
749	4841	20980
750	4848	20977
751	4853	20963
752	4861	20963
753	4866	20948
754	4873	20945
755	4881	20944
756	4888	20940
757	4895	20937
758	4899	20921
759	4907	20923
760	4912	20908
761	4919	20903
762	4925	20898
763	4930	20883
764	4938	20882
765	4945	20877
766	4949	20863
767	4956	20860
768	4965	20861
769	4972	20858
770	4976	20842
771	4983	20839
772	4991	20839
773	4996	20825
774	5003	20821
775	5010	20817
776	5015	20802
777	5022	20802
778	5027	20787
779	5034	20784
780	5041	20780
781	5046	20765
782	5053	20763
783	5058	20748
784	5065	20743
785	5072	20740
786	5076	20726
787	5083	20722
788	5091	20719
789	5095	20705
790	5103	20702
791	5107	20688
792	5115	20685
793	5122	20681
794	5126	20666
795	5135	20669
796	5142	20667
797	5148	20660
798	5153	20647
799	5162	20648
800	5166	20633
801	5173	20627
802	5179	20623
803	5184	20610
804	5192	20610
805	5197	20595
806	5204	20592
807	5212	20590
808	5216	20577
809	5224	20576
810	5231	20571
811	5238	20567
812	5243	20553
813	5250	20551
814	5255	20537
815	5262	20533
816	5269	20528
817	5274	20515
818	5281	20514
819	5286	20501
820	5294	20499
821	5301	20496
822	5306	20484
823	5313	20481
824	5321	20480
825	5328	20475
826	5336	20475
827	5341	20461
828	5348	20459
829	5355	20453
830	5359	20439
831	5367	20439
832	5372	20426
833	5379	20421
834	5386	20418
835	5391	20403
836	5398	20399
837	5405	20396
838	5410	20383
839	5417	20379
840	5424	20376
841	5431	20371
842	5435	20357
843	5444	20359
844	5449	20345
845	5456	20341
846	5463	20337
847	5468	20324
