iter	F1	Logloss
230	0.7528289984	0.3716083398
231	0.7528538335	0.3715386441
232	0.7528385937	0.3714199175
233	0.7530598918	0.3713215911
234	0.7531410646	0.371113768
235	0.753157598	0.3709910437
236	0.7532786428	0.3708684369
237	0.7534460628	0.3707492106
238	0.7534347482	0.3706193138
239	0.7535269432	0.3704923272
240	0.753683529	0.3703573451
241	0.7538718265	0.3702616054
242	0.7539913282	0.3701631908
243	0.7541525088	0.3700539881
244	0.754220551	0.3699915824
245	0.7544405766	0.3697892857
246	0.7545976338	0.3696980434
247	0.7546704599	0.3696090352
248	0.7549112571	0.3695275521
249	0.7549514476	0.3693897775
250	0.7551594119	0.3691996209
251	0.7552732262	0.3690484715
252	0.7553800768	0.3689240128
253	0.7554507232	0.3687520224
254	0.7554224795	0.3686213614
255	0.7555069886	0.3685773276
256	0.755676688	0.368487849
257	0.7558773367	0.368354954
258	0.7559041074	0.3682782329
259	0.7559192045	0.3681915763
260	0.7561121049	0.3680199973
261	0.7561220282	0.3679535645
262	0.7561214823	0.3678746682
263	0.7562395868	0.3677621145
264	0.7564101135	0.367645328
265	0.7565068188	0.3675178416
266	0.7565836378	0.3674073456
267	0.7566052976	0.3673060503
268	0.7568148652	0.367202903
269	0.7570722796	0.3670326762
270	0.7571691924	0.3669794124
271	0.7572748487	0.3668672997
272	0.7572618729	0.3668192975
273	0.7573825447	0.3667394312
274	0.7574655746	0.366608535
275	0.7575028675	0.3665367817
276	0.7575367862	0.3664281963
277	0.7576243445	0.3662036181
278	0.757733824	0.3661322763
279	0.7579200508	0.3660586711
280	0.7580356049	0.3659829201
281	0.7581054601	0.365886857
282	0.7582248745	0.3658205124
283	0.758300118	0.3656474637
284	0.7583995368	0.3655289428
285	0.7584859231	0.3654513105
286	0.7585538842	0.3653821733
287	0.758607251	0.3653248236
288	0.7586813578	0.3652504541
289	0.7587185997	0.3651202634
290	0.7588564429	0.3649658806
291	0.7590595545	0.3648840153
292	0.7590729679	0.3648028556
293	0.7590994622	0.3647298677
294	0.7590798762	0.3646169025
295	0.7591854458	0.3645569954
296	0.7593858555	0.3644750713
297	0.7593672774	0.3643795374
298	0.7593844784	0.3643186603
299	0.7596024353	0.3641827081
300	0.7596511829	0.3641231538
301	0.7597199497	0.3639742384
302	0.7598283892	0.3639166535
303	0.7599626089	0.3638110959
304	0.7599810812	0.3637076841
305	0.7601428794	0.3635887223
306	0.7601046072	0.363493982
307	0.7602891019	0.3633846618
308	0.7603483293	0.3633404516
309	0.7604093056	0.3632499149
310	0.7604870394	0.3631180193
311	0.7606475633	0.3629959416
312	0.7607036915	0.3628019636
313	0.7607975825	0.3627364421
314	0.7609417866	0.3626194497
315	0.7610680525	0.3625425229
316	0.7610716969	0.3624766192
317	0.76104097	0.3624103333
318	0.7611040945	0.3623684454
319	0.7611348196	0.3623271453
320	0.761115717	0.3622913128
321	0.7611861398	0.362173321
322	0.761199428	0.3621054478
323	0.7614241441	0.3619762272
324	0.7614993852	0.3618597346
325	0.7616620671	0.3617168158
326	0.7617680603	0.3616120812
327	0.7619296626	0.3614917967
328	0.7619990654	0.3614266572
329	0.7622342615	0.3612488171
330	0.7623311901	0.3611893216
331	0.7623698496	0.3610557798
332	0.7623232093	0.3609812046
333	0.762313134	0.3609028374
334	0.7624671259	0.3607761153
335	0.7625084799	0.3606374882
336	0.7626228086	0.3605157045
337	0.7627344801	0.3604317522
338	0.7629188119	0.3603389814
339	0.7628844197	0.3602862467
340	0.7629051721	0.3601883318
341	0.7629809644	0.3600681942
342	0.7630027585	0.3600025256
343	0.7629777508	0.3599316541
344	0.7632155528	0.35978997
345	0.7633334816	0.3597001093
346	0.763511823	0.3596322655
347	0.7635540829	0.3595492539
348	0.7636042226	0.3594750608
349	0.7635708687	0.359419269
350	0.7637592622	0.3593105954
351	0.7638898152	0.359245309
352	0.76398099	0.3591340487
353	0.7641406141	0.3590640297
354	0.7641494754	0.3589772261
355	0.7643028225	0.3589095881
356	0.7643632807	0.3588358947
357	0.7645715619	0.3587596145
358	0.7644882039	0.3586957685
359	0.7644927939	0.358596325
360	0.7646120941	0.3585338899
361	0.7646248375	0.3584937069
362	0.7647552323	0.3583649859
363	0.7647444444	0.3582738319
364	0.7647571904	0.3581876162
365	0.7648437847	0.3581437
366	0.7648601204	0.3580870263
367	0.7648892024	0.3579332902
368	0.7649038996	0.3578714724
369	0.7651035042	0.357788931
370	0.7650489319	0.3577415756
371	0.7650926944	0.3576160587
372	0.7651972983	0.3575598554
373	0.765349257	0.3574548269
374	0.7654123477	0.3573782233
375	0.7654838011	0.3572656109
376	0.7655211105	0.3571729283
377	0.7656546806	0.3570552305
378	0.7657615125	0.3569944709
379	0.7657697691	0.3569142518
380	0.7659234077	0.3567925857
381	0.7661304657	0.356677798
382	0.766170149	0.3566186551
383	0.7662962901	0.3565549267
384	0.7663999733	0.3564883175
385	0.7664656695	0.3563580092
386	0.7664923326	0.3562989251
387	0.7665837571	0.3562442209
388	0.7666529719	0.3561567706
389	0.7666775861	0.3560996854
390	0.7666997951	0.3560260508
391	0.7668869024	0.3559498001
392	0.7669997779	0.3558463001
393	0.7671281545	0.3557404779
394	0.7672118043	0.3556385358
395	0.7672974128	0.3555549069
396	0.7674239187	0.355491443
397	0.7675280849	0.3554107242
398	0.7676099337	0.3553181591
399	0.7678927241	0.3552396449
400	0.7679226538	0.3551591907
401	0.7680200679	0.3550937867
402	0.7680680103	0.3550009865
403	0.7681918565	0.3549373168
404	0.7682610843	0.3548508953
405	0.7684267176	0.3547115628
406	0.768436881	0.354593571
407	0.7684676587	0.3545172909
408	0.7685307973	0.3544221391
409	0.7685982055	0.3543191976
410	0.768664832	0.354219519
411	0.7687280152	0.3540575522
412	0.7688287479	0.3539713953
413	0.768819352	0.3538998184
414	0.7688244824	0.3538526687
415	0.7689721368	0.3537854422
416	0.769022508	0.3537244475
417	0.7690626248	0.3536504601
418	0.7690788452	0.3535778249
419	0.7691838308	0.353531998
420	0.7691454309	0.3533722065
421	0.7691684695	0.353297984
422	0.7692060199	0.3532191759
423	0.76938694	0.3531109433
424	0.7694757105	0.3530455099
425	0.7694458468	0.3529698764
426	0.7695286279	0.3528864239
427	0.769556823	0.3528430955
428	0.7695994674	0.3527597312
429	0.7694757635	0.3526967082
430	0.7695389225	0.3526073766
431	0.7695987038	0.3524924125
432	0.7696516364	0.3524238927
433	0.7697344691	0.352349729
434	0.7698164303	0.3522922322
435	0.7699118972	0.3522107785
436	0.7699008011	0.3521648341
437	0.7700313445	0.3520930807
438	0.7701407075	0.3520038373
439	0.7701994985	0.3519561586
440	0.7702037714	0.3519110666
441	0.770320648	0.3518082133
442	0.7704366059	0.3517487765
443	0.7705483631	0.3516938665
444	0.7706922655	0.3516227305
445	0.7706266326	0.3515498307
446	0.7706990828	0.3514990361
447	0.7707504839	0.3514546202
448	0.7708364528	0.3513882167
449	0.7708101093	0.351337716
450	0.7709593873	0.3512896551
451	0.7710224657	0.3512400656
452	0.7710053626	0.3511770133
453	0.7710728447	0.3511196929
454	0.7711981899	0.3510530543
455	0.7712099368	0.3509922065
456	0.7712595172	0.3509420292
457	0.7713908636	0.3508998473
458	0.7714138373	0.3508142195
459	0.7714870282	0.3507128066
460	0.771512695	0.350629207
461	0.7717335255	0.3505382587
462	0.7717070682	0.3504948128
463	0.771792469	0.350429644
464	0.7717872232	0.3503626821
465	0.7718736142	0.3502961317
466	0.7719204887	0.3502509221
467	0.7719910872	0.3502016853
468	0.7721052427	0.3501600913
469	0.7720457405	0.3500890729
470	0.7722475946	0.3499858963
471	0.7723776379	0.3499162006
472	0.7723589852	0.3498542358
473	0.7725406088	0.349759231
474	0.772613671	0.3496800113
475	0.7726129122	0.3496188696
476	0.7726970476	0.349555876
477	0.7727557336	0.3495050226
478	0.7728738434	0.3494494365
479	0.7729231997	0.3493837974
